chrom	start	stop	regid
1	10583	1892607	A_0
1	1892607	5913893	A_3
1	5913893	10806984	A_6
1	10806984	14891511	A_9
1	14891511	20469149	A_12
1	20469149	23920590	A_15
1	23920590	30161881	A_18
1	30161881	37549183	A_21
1	37549183	41975327	A_24
1	41975327	46899501	A_27
1	46899501	49894177	A_30
1	49894177	56413117	A_33
1	56413117	59890409	A_36
1	59890409	65041704	A_39
1	65041704	69687616	A_42
1	69687616	74326907	A_45
1	74326907	81354191	A_48
1	81354191	86454751	A_51
1	86454751	91886317	A_54
1	91886317	96150893	A_57
1	96150893	100826405	A_60
1	100826405	103914211	A_63
1	103914211	110303931	A_66
1	110303931	114873845	A_69
1	114873845	144977494	A_72
1	144977494	153180829	A_75
1	153180829	158027412	A_78
1	158027412	165191702	A_81
1	165191702	170557776	A_84
1	170557776	177433381	A_87
1	177433381	181144121	A_90
1	181144121	186810023	A_93
1	186810023	191868930	A_96
1	191868930	197311514	A_99
1	197311514	201589975	A_102
1	201589975	206073265	A_105
1	206073265	212842330	A_108
1	212842330	218705513	A_111
1	218705513	222230220	A_114
1	222230220	229156248	A_117
1	229156248	233429284	A_120
1	233429284	237555628	A_123
1	237555628	240564091	A_126
1	240564091	244109499	A_129
1	244109499	249239466	A_132
2	10133	1781022	B_0
2	1781022	6836254	B_3
2	6836254	12419150	B_6
2	12419150	18647423	B_9
2	18647423	23341383	B_12
2	23341383	28598777	B_15
2	28598777	31550450	B_18
2	31550450	36122006	B_21
2	36122006	40281483	B_24
2	40281483	46482634	B_27
2	46482634	50022257	B_30
2	50022257	53508452	B_33
2	53508452	57429100	B_36
2	57429100	62429044	B_39
2	62429044	67226166	B_42
2	67226166	70755198	B_45
2	70755198	76913661	B_48
2	76913661	81620841	B_51
2	81620841	89154526	B_54
2	89154526	101822329	B_57
2	101822329	105125034	B_60
2	105125034	108429177	B_63
2	108429177	116772470	B_66
2	116772470	123302906	B_69
2	123302906	127373764	B_72
2	127373764	130067170	B_75
2	130067170	135158578	B_78
2	135158578	140100271	B_81
2	140100271	144519484	B_84
2	144519484	150210292	B_87
2	150210292	154005056	B_90
2	154005056	158533218	B_93
2	158533218	163503551	B_96
2	163503551	167160270	B_99
2	167160270	171226245	B_102
2	171226245	177363636	B_105
2	177363636	182266031	B_108
2	182266031	189882065	B_111
2	189882065	196447456	B_114
2	196447456	201576284	B_117
2	201576284	206735704	B_120
2	206735704	212379518	B_123
2	212379518	217715661	B_126
2	217715661	222521176	B_129
2	222521176	228119842	B_132
2	228119842	233550003	B_135
2	233550003	237449032	B_138
2	237449032	241560084	B_141
2	241560084	243188920	B_144
3	60157	1441779	C_0
3	1441779	6083183	C_3
3	6083183	9543183	C_6
3	9543183	14816900	C_9
3	14816900	19125144	C_12
3	19125144	22204244	C_15
3	22204244	26877769	C_18
3	26877769	30717955	C_21
3	30717955	35283458	C_24
3	35283458	40221298	C_27
3	40221298	45165153	C_30
3	45165153	49316972	C_33
3	49316972	55348860	C_36
3	55348860	60272906	C_39
3	60272906	65273538	C_42
3	65273538	69276762	C_45
3	69276762	74321817	C_48
3	74321817	79024541	C_51
3	79024541	84367479	C_54
3	84367479	88298373	C_57
3	88298373	98215950	C_60
3	98215950	103084960	C_63
3	103084960	109522395	C_66
3	109522395	113947863	C_69
3	113947863	118530251	C_72
3	118530251	123517768	C_75
3	123517768	128194861	C_78
3	128194861	133252173	C_81
3	133252173	139954597	C_84
3	139954597	144410816	C_87
3	144410816	149043237	C_90
3	149043237	153256571	C_93
3	153256571	157312028	C_96
3	157312028	163253205	C_99
3	163253205	168580960	C_102
3	168580960	173477285	C_105
3	173477285	178107165	C_108
3	178107165	183769683	C_111
3	183769683	188856214	C_114
3	188856214	194059671	C_117
3	194059671	197075987	C_120
3	197075987	197946622	C_123
4	10240	694715	D_0
4	694715	3846040	D_3
4	3846040	6773043	D_6
4	6773043	9326479	D_9
4	9326479	14272001	D_12
4	14272001	17383322	D_15
4	17383322	22319347	D_18
4	22319347	27343722	D_21
4	27343722	30454535	D_24
4	30454535	35151415	D_27
4	35151415	38907022	D_30
4	38907022	43965045	D_33
4	43965045	48123600	D_36
4	48123600	56547644	D_39
4	56547644	62371763	D_42
4	62371763	68059497	D_45
4	68059497	72140558	D_48
4	72140558	79093979	D_51
4	79093979	83372593	D_54
4	83372593	87534648	D_57
4	87534648	91560677	D_60
4	91560677	97540703	D_63
4	97540703	103221356	D_66
4	103221356	108815348	D_69
4	108815348	115666246	D_72
4	115666246	119933512	D_75
4	119933512	124286481	D_78
4	124286481	127275477	D_81
4	127275477	130591885	D_84
4	130591885	134628434	D_87
4	134628434	139556511	D_90
4	139556511	146178187	D_93
4	146178187	152782184	D_96
4	152782184	157485097	D_99
4	157485097	161826435	D_102
4	161826435	165823448	D_105
4	165823448	169676825	D_108
4	169676825	174264132	D_111
4	174264132	180122043	D_114
4	180122043	184929455	D_117
4	184929455	189693511	D_120
4	189693511	191043594	D_123
5	11940	982252	E_0
5	982252	4632110	E_3
5	4632110	8446336	E_6
5	8446336	13464832	E_9
5	13464832	18051592	E_12
5	18051592	23494324	E_15
5	23494324	27984513	E_18
5	27984513	33500180	E_21
5	33500180	38802410	E_24
5	38802410	43983499	E_27
5	43983499	53703044	E_30
5	53703044	57340073	E_33
5	57340073	61672995	E_36
5	61672995	65911286	E_39
5	65911286	73759326	E_42
5	73759326	79393144	E_45
5	79393144	83972689	E_48
5	83972689	88891530	E_51
5	88891530	93809984	E_54
5	93809984	99260992	E_57
5	99260992	104851483	E_60
5	104851483	108633934	E_63
5	108633934	113396285	E_66
5	113396285	117346213	E_69
5	117346213	120452166	E_72
5	120452166	125785649	E_75
5	125785649	132139649	E_78
5	132139649	139265072	E_81
5	139265072	144943354	E_84
5	144943354	150561298	E_87
5	150561298	155373505	E_90
5	155373505	159973944	E_93
5	159973944	163771582	E_96
5	163771582	168525318	E_99
5	168525318	172678327	E_102
5	172678327	177251507	E_105
5	177251507	180559933	E_108
5	180559933	180885156	E_111
6	73924	1452362	F_0
6	1452362	4617817	F_3
6	4617817	7808936	F_6
6	7808936	11790816	F_9
6	11790816	17386405	F_12
6	17386405	22748307	F_15
6	22748307	25684587	F_18
6	25684587	28917608	F_21
6	28917608	31571218	F_24
6	31571218	35455756	F_27
6	35455756	40345115	F_30
6	40345115	45406563	F_33
6	45406563	50386145	F_36
6	50386145	55468270	F_39
6	55468270	61880512	F_42
6	61880512	67329215	F_45
6	67329215	71609510	F_48
6	71609510	77414881	F_51
6	77414881	81929222	F_54
6	81929222	87069500	F_57
6	87069500	91843196	F_60
6	91843196	94441175	F_63
6	94441175	100630146	F_66
6	100630146	106056733	F_69
6	106056733	110304247	F_72
6	110304247	116131396	F_75
6	116131396	119963278	F_78
6	119963278	123856181	F_81
6	123856181	129861031	F_84
6	129861031	134244243	F_87
6	134244243	138822629	F_90
6	138822629	145319810	F_93
6	145319810	150253404	F_96
6	150253404	154974120	F_99
6	154974120	160580497	F_102
6	160580497	164383521	F_105
6	164383521	168042835	F_108
6	168042835	171051270	F_111
7	16161	972752	G_0
7	972752	2772227	G_3
7	2772227	5854526	G_6
7	5854526	9123423	G_9
7	9123423	12635461	G_12
7	12635461	16902069	G_15
7	16902069	22507629	G_18
7	22507629	25909555	G_21
7	25909555	33555768	G_24
