chrom	start	stop	regid
1	10583	3582736	A_0
1	3582736	7247335	A_3
1	7247335	11777841	A_6
1	11777841	16897730	A_9
1	16897730	21736588	A_12
1	21736588	25516845	A_15
1	25516845	32438685	A_18
1	32438685	38731847	A_21
1	38731847	43758457	A_24
1	43758457	48002576	A_27
1	48002576	51713726	A_30
1	51713726	57021728	A_33
1	57021728	61922365	A_36
1	61922365	66939404	A_39
1	66939404	71372470	A_42
1	71372470	76728135	A_45
1	76728135	83991748	A_48
1	83991748	88128631	A_51
1	88128631	93536459	A_54
1	93536459	97885249	A_57
1	97885249	102041016	A_60
1	102041016	106087842	A_63
1	106087842	111741737	A_66
1	111741737	115880593	A_69
1	115880593	148361253	A_72
1	148361253	154770403	A_75
1	154770403	159913048	A_78
1	159913048	166460517	A_81
1	166460517	173097907	A_84
1	173097907	178944309	A_87
1	178944309	182755356	A_90
1	182755356	188759945	A_93
1	188759945	194107442	A_96
1	194107442	199239884	A_99
1	199239884	203334734	A_102
1	203334734	208410364	A_105
1	208410364	214578266	A_108
1	214578266	219590571	A_111
1	219590571	224938520	A_114
1	224938520	230685255	A_117
1	230685255	234599434	A_120
1	234599434	238567807	A_123
1	238567807	241582220	A_126
1	241582220	245506746	A_129
1	245506746	249239466	A_132
2	10133	3973779	B_0
2	3973779	8422147	B_3
2	8422147	14335308	B_6
2	14335308	19692404	B_9
2	19692404	24686918	B_12
2	24686918	29217559	B_15
2	29217559	33363777	B_18
2	33363777	38132712	B_21
2	38132712	43309590	B_24
2	43309590	47318772	B_27
2	47318772	50818928	B_30
2	50818928	54685226	B_33
2	54685226	58297315	B_36
2	58297315	64625913	B_39
2	64625913	68010176	B_42
2	68010176	73174848	B_45
2	73174848	78079264	B_48
2	78079264	85140680	B_51
2	85140680	95326452	B_54
2	95326452	102688765	B_57
2	102688765	106210058	B_60
2	106210058	110572432	B_63
2	110572432	118367466	B_66
2	118367466	124732250	B_69
2	124732250	128034347	B_72
2	128034347	130658085	B_75
2	130658085	137042794	B_78
2	137042794	141805351	B_81
2	141805351	146445570	B_84
2	146445570	151731462	B_87
2	151731462	155391135	B_90
2	155391135	159577082	B_93
2	159577082	164466638	B_96
2	164466638	167355970	B_99
2	167355970	173138905	B_102
2	173138905	178553183	B_105
2	178553183	184357608	B_108
2	184357608	191973357	B_111
2	191973357	198078110	B_114
2	198078110	202818637	B_117
2	202818637	208645399	B_120
2	208645399	214014282	B_123
2	214014282	218395480	B_126
2	218395480	224859419	B_129
2	224859419	229370787	B_132
2	229370787	235150987	B_135
2	235150987	238760981	B_138
2	238760981	242149921	B_141
2	242149921	243188920	B_144
3	60157	2992120	C_0
3	2992120	7083387	C_3
3	7083387	11019665	C_6
3	11019665	16282442	C_9
3	16282442	20091348	C_12
3	20091348	23804865	C_15
3	23804865	27840910	C_18
3	27840910	32351715	C_21
3	32351715	36486842	C_24
3	36486842	41064528	C_27
3	41064528	46657500	C_30
