chrom	start	stop	regid
1	10583	3582736	A_0
1	3582736	5913893	A_2
1	5913893	9365199	A_4
1	9365199	11777841	A_6
1	11777841	14891511	A_8
1	14891511	18662899	A_10
1	18662899	21736588	A_12
1	21736588	23920590	A_14
1	23920590	27401867	A_16
1	27401867	32438685	A_18
1	32438685	37549183	A_20
1	37549183	40200567	A_22
1	40200567	43758457	A_24
1	43758457	46899501	A_26
1	46899501	48978188	A_28
1	48978188	51713726	A_30
1	51713726	56413117	A_32
1	56413117	58865399	A_34
1	58865399	61922365	A_36
1	61922365	65041704	A_38
1	65041704	68477895	A_40
1	68477895	71372470	A_42
1	71372470	74326907	A_44
1	74326907	79661198	A_46
1	79661198	83991748	A_48
1	83991748	86454751	A_50
1	86454751	90066303	A_52
1	90066303	93536459	A_54
1	93536459	96150893	A_56
1	96150893	99800604	A_58
1	99800604	102041016	A_60
1	102041016	103914211	A_62
1	103914211	108409665	A_64
1	108409665	111741737	A_66
1	111741737	114873845	A_68
1	114873845	118839067	A_70
1	118839067	148361253	A_72
1	148361253	153180829	A_74
1	153180829	156336133	A_76
1	156336133	159913048	A_78
1	159913048	165191702	A_80
1	165191702	169086324	A_82
1	169086324	173097907	A_84
1	173097907	177433381	A_86
1	177433381	178954470	A_88
1	178954470	182755356	A_90
1	182755356	186810023	A_92
1	186810023	189904130	A_94
1	189904130	194107442	A_96
1	194107442	197311514	A_98
1	197311514	200137649	A_100
1	200137649	203334734	A_102
1	203334734	206073265	A_104
1	206073265	210787750	A_106
1	210787750	214578266	A_108
1	214578266	218705513	A_110
1	218705513	221858231	A_112
1	221858231	224938520	A_114
1	224938520	229156248	A_116
1	229156248	232090252	A_118
1	232090252	234599434	A_120
1	234599434	237555628	A_122
1	237555628	239925314	A_124
1	239925314	241582220	A_126
1	241582220	244109499	A_128
1	244109499	247344518	A_130
1	247344518	249239466	A_132
2	10133	3973779	B_0
2	3973779	6836254	B_2
2	6836254	10298469	B_4
2	10298469	14335308	B_6
