chrom	start	stop	regid
1	10583	1892607	0
1	1892607	3582736	1
1	3582736	4380811	2
1	4380811	5913893	3
1	5913893	7247335	4
1	7247335	9365199	5
1	9365199	10806984	6
1	10806984	11777841	7
1	11777841	12779466	8
1	12779466	14891511	9
1	14891511	16897730	10
1	16897730	18662899	11
1	18662899	20469149	12
1	20469149	21736588	13
1	21736588	23086883	14
1	23086883	23920590	15
1	23920590	25516845	16
1	25516845	27401867	17
1	27401867	30161881	18
1	30161881	32438685	19
1	32438685	34799758	20
1	34799758	37549183	21
1	37549183	38731847	22
1	38731847	40200567	23
1	40200567	41975327	24
1	41975327	43758457	25
1	43758457	44969183	26
1	44969183	46899501	27
1	46899501	48002576	28
1	48002576	48978188	29
1	48978188	49894177	30
1	49894177	51713726	31
1	51713726	54226262	32
1	54226262	56413117	33
1	56413117	57021728	34
1	57021728	58865399	35
1	58865399	59890409	36
1	59890409	61922365	37
1	61922365	63455089	38
1	63455089	65041704	39
1	65041704	66939404	40
1	66939404	68477895	41
1	68477895	69687616	42
1	69687616	71372470	43
1	71372470	71684405	44
1	71684405	74326907	45
1	74326907	76728135	46
1	76728135	79661198	47
1	79661198	81354191	48
1	81354191	83991748	49
1	83991748	84844495	50
1	84844495	86454751	51
1	86454751	88128631	52
1	88128631	90066303	53
1	90066303	91886317	54
1	91886317	93536459	55
1	93536459	94506191	56
1	94506191	96150893	57
1	96150893	97885249	58
1	97885249	99800604	59
1	99800604	100826405	60
1	100826405	102041016	61
1	102041016	102898745	62
1	102898745	103914211	63
1	103914211	106087842	64
1	106087842	108409665	65
1	108409665	110303931	66
1	110303931	111741737	67
1	111741737	113273306	68
1	113273306	114873845	69
1	114873845	115880593	70
1	115880593	118839067	71
1	118839067	144977494	72
1	144977494	148361253	73
1	148361253	151538881	74
1	151538881	153180829	75
1	153180829	154770403	76
1	154770403	156336133	77
1	156336133	158027412	78
1	158027412	159913048	79
1	159913048	162346721	80
1	162346721	165191702	81
1	165191702	166460517	82
1	166460517	169086324	83
1	169086324	170557776	84
1	170557776	173097907	85
1	173097907	175089768	86
1	175089768	177433381	87
1	177433381	178944309	88
1	178944309	178954470	89
1	178954470	181144121	90
1	181144121	182755356	91
1	182755356	184595513	92
1	184595513	186810023	93
1	186810023	188759945	94
1	188759945	189904130	95
1	189904130	191868930	96
1	191868930	194107442	97
1	194107442	196176201	98
1	196176201	197311514	99
1	197311514	199239884	100
1	199239884	200137649	101
1	200137649	201589975	102
1	201589975	203334734	103
1	203334734	204681068	104
1	204681068	206073265	105
1	206073265	208410364	106
